dataset,protocol,model,seed,subject_id,threshold,n_trials,single_class,mcc,kappa,balanced_accuracy,pr_auc,roc_auc,macro_f1,sensitivity,specificity,ece,accuracy
neuma,subjectwise,svm_rbf,2,S32,0.2568451893528937,101,0,0.0,0.0,0.5,0.22896400656359833,0.4821634062140391,0.17886178861788618,1.0,0.0,0.06285028498296065,0.21782178217821782
neuma,subjectwise,svm_rbf,2,S33,0.2630609544821845,97,0,0.05852923671697378,0.04017991004497756,0.5161057692307692,0.4110077437665295,0.5875,0.4704714640198511,0.09375,0.9384615384615385,0.07330839180424309,0.6597938144329897
neuma,subjectwise,svm_rbf,2,S34,0.2630609544821845,235,0,-0.0522766438649124,-0.0243709134139094,0.49226804123711343,0.1440921039762878,0.4212974603972844,0.44835680751173707,0.0,0.9845360824742269,0.07995722084259152,0.8127659574468085
neuma,subjectwise,svm_rbf,2,S35,0.2185541444863289,101,0,0.018337320140672693,0.006373839545517623,0.5060526315789474,0.25983961444981685,0.491578947368421,0.2789341377576672,0.92,0.09210526315789473,0.014790168777365553,0.297029702970297
neuma,subjectwise,svm_rbf,2,S36,0.2630609544821845,51,0,-0.13041013273932525,-0.07434944237918217,0.4722222222222222,0.36841763339858785,0.5166666666666666,0.4,0.0,0.9444444444444444,0.038799889088220796,0.6666666666666666
neuma,subjectwise,svm_rbf,2,S37,0.2823696496535217,66,0,0.0,0.0,0.5,0.33972686712391575,0.3730769230769231,0.37735849056603776,0.0,1.0,0.14375251879347795,0.6060606060606061
neuma,subjectwise,svm_rbf,2,S38,0.2630609544821845,181,0,0.0,0.0,0.5,0.31847851259125365,0.5231910946196661,0.4217252396166134,0.0,1.0,0.016974343723068108,0.7292817679558011
neuma,subjectwise,svm_rbf,2,S39,0.2597186042652504,39,0,-0.04905524551257965,-0.04597701149425282,0.475,0.5194059384461862,0.5194444444444444,0.46011865524060647,0.5333333333333333,0.4166666666666667,0.12485749125064233,0.46153846153846156
neuma,subjectwise,svm_rbf,2,S40,0.2597186042652504,65,0,0.2983352891851307,0.26573426573426573,0.6217948717948718,0.6385838168672636,0.719921104536489,0.6153846153846154,0.34615384615384615,0.8974358974358975,0.14397588652327414,0.676923076923077
neuma,subjectwise,svm_rbf,2,S41,0.2568451893528937,48,0,-0.0778498944161523,-0.034482758620689724,0.47777777777777775,0.34231675517925153,0.37222222222222223,0.31688804554079697,0.8888888888888888,0.06666666666666667,0.1336239052581227,0.375
neuma,subjectwise,svm_rbf,2,S42,0.2630609544821845,63,0,0.0,0.0,0.5,0.3267050410844951,0.3326315789473684,0.37623762376237624,0.0,1.0,0.14239649439087537,0.6031746031746031
neuma,subjectwise,svm_rbf,2,S43,0.2630609544821845,86,0,0.0,0.0,0.5,0.22149638486096462,0.441025641025641,0.4304635761589404,0.0,1.0,0.008230056942219566,0.7558139534883721
neuma,subjectwise,svm_rbf,2,S44,0.2597186042652504,82,0,-0.16081082609810307,-0.13120784794604545,0.39867424242424243,0.2093310072798934,0.356060606060606,0.3844870725604671,0.3125,0.48484848484848486,0.06502320246018439,0.45121951219512196
neuma,subjectwise,svm_rbf,3,S01,0.260783982885639,69,0,-0.09105972745135885,-0.0539083557951483,0.48148148148148145,0.19334544841390672,0.3827160493827161,0.4297520661157025,0.0,0.9629629629629629,0.03219657918935387,0.7536231884057971
neuma,subjectwise,svm_rbf,3,S02,0.2483011425686398,63,0,0.24571804673358047,0.21917808219178092,0.5952380952380952,0.4853362296217093,0.5476190476190477,0.5935483870967742,0.2857142857142857,0.9047619047619048,0.08526881318140145,0.6984126984126984
neuma,subjectwise,svm_rbf,3,S03,0.2682087328893107,65,0,-0.0817943751494157,-0.07411116675012508,0.4528061224489796,0.21840220481843167,0.41326530612244894,0.4392156862745098,0.375,0.5306122448979592,0.020441997419536673,0.49230769230769234
neuma,subjectwise,svm_rbf,3,S05,0.260783982885639,85,0,0.0,0.0,0.5,0.15751038835200398,0.4508547008547009,0.4585987261146497,0.0,1.0,0.0924184443923809,0.8470588235294118
neuma,subjectwise,svm_rbf,3,S06,0.1933177779506492,139,0,-0.014947753467643602,-0.002797408716136651,0.4976010101010101,0.24766138397079807,0.41868686868686866,0.241198752228164,0.975,0.020202020202020204,0.07769956736707909,0.2949640287769784
