dataset,protocol,model,metric,n_participants,n_single_class_excluded,participant_mean,ci_lo,ci_hi,pooled_mean_over_seeds,pooled_sd_over_seeds,n_seeds
ds007406,epochwise,svm_rbf,balanced_accuracy,10,0,0.45999999999999996,0.42333333333333323,0.4966666666666667,0.45666666666666667,0.05120763831912404,5
ds007406,permuted_subjectwise,deepconvnet,balanced_accuracy,10,0,0.47000000000000003,0.42333333333333334,0.5199999999999999,0.4699999999999999,0.08844332774281068,5
ds007406,permuted_subjectwise,eegnet,balanced_accuracy,10,0,0.48999999999999994,0.42333333333333334,0.5500833333333321,0.48999999999999994,0.05637178175095922,5
ds007406,permuted_subjectwise,logreg,balanced_accuracy,10,0,0.48,0.4466666666666666,0.5199999999999999,0.48,0.053124591501697425,5
ds007406,permuted_subjectwise,svm_rbf,balanced_accuracy,10,0,0.4833333333333333,0.44666666666666666,0.52,0.4833333333333333,0.02581988897471611,5
ds007406,subjectwise,deepconvnet,balanced_accuracy,10,0,0.4966666666666667,0.45666666666666667,0.5333333333333333,0.4966666666666667,0.03231786571610886,5
ds007406,subjectwise,eegnet,balanced_accuracy,10,0,0.5366666666666665,0.4833333333333333,0.5866666666666667,0.5366666666666667,0.06699917080747261,5
ds007406,subjectwise,logreg,balanced_accuracy,10,0,0.55,0.5166666666666666,0.5933333333333333,0.55,0.02788866755113586,5
ds007406,subjectwise,svm_rbf,balanced_accuracy,10,0,0.5199999999999999,0.48666666666666664,0.5533333333333333,0.5199999999999999,0.01943650631615101,5
neuma,epochwise,deepconvnet,balanced_accuracy,42,0,0.49588936518435067,0.485685978883951,0.5057678733181932,0.5038117453870609,0.000968974039364898,5
neuma,epochwise,eegnet,balanced_accuracy,42,0,0.5028282018592127,0.4921803982955974,0.5137526075384087,0.500964992284435,0.003934722634345505,5
neuma,epochwise,logreg,balanced_accuracy,42,0,0.5167352001794712,0.501836667574162,0.5305344327120666,0.5253469300327691,0.005261026872921178,5
neuma,epochwise,svm_rbf,balanced_accuracy,42,0,0.4969087341252488,0.4900026997769172,0.5038624969556516,0.503282906479076,0.003947873504870773,5
neuma,permuted_subjectwise,deepconvnet,balanced_accuracy,42,0,0.5002765769973533,0.4934112460451932,0.5071706670342637,0.5004326970666746,0.009497469468060503,5
neuma,permuted_subjectwise,eegnet,balanced_accuracy,42,0,0.4958786113417661,0.48803675305486793,0.5042921539110361,0.49347309991721316,0.0026146716117510637,5
neuma,permuted_subjectwise,logreg,balanced_accuracy,42,0,0.5042396032578753,0.4981007682762582,0.5102708956435581,0.5056559335316362,0.01018786614053843,5
neuma,permuted_subjectwise,svm_rbf,balanced_accuracy,42,0,0.4959782138307854,0.4913504772006293,0.5004363599277082,0.49201869887100935,0.006785600510062004,5
neuma,subjectwise,deepconvnet,balanced_accuracy,42,0,0.49994012317965353,0.48819417731781517,0.5122519887358565,0.49853701696013564,0.008301011248247071,5
neuma,subjectwise,eegnet,balanced_accuracy,42,0,0.5004179493801012,0.4905754018426554,0.5101895558493295,0.5003526141340497,0.010835117880621194,5
neuma,subjectwise,logreg,balanced_accuracy,42,0,0.5185012323283624,0.5044008257612793,0.5318833610019519,0.5192720776489381,0.005655064239354829,5
neuma,subjectwise,svm_rbf,balanced_accuracy,42,0,0.5012322089021615,0.4961810297946144,0.5065726583715345,0.5009733861796045,0.008811218857732816,5
restaurant_logo,epochwise,deepconvnet,balanced_accuracy,15,0,0.5099591168091169,0.475836081094831,0.5484441071428572,0.5144285714285715,0.02146061096821926,5
restaurant_logo,epochwise,eegnet,balanced_accuracy,15,0,0.5197772893772894,0.4930941865079364,0.5481293925518925,0.5097142857142858,0.02026882820553266,5
restaurant_logo,epochwise,logreg,balanced_accuracy,15,0,0.600223076923077,0.5581159340659343,0.6409253998778998,0.6198571428571429,0.024070286346598677,5
restaurant_logo,epochwise,svm_rbf,balanced_accuracy,15,0,0.4912535409035409,0.46732161375661363,0.5147113451363451,0.5095238095238095,0.023775690246805016,5
restaurant_logo,permuted_subjectwise,deepconvnet,balanced_accuracy,15,0,0.4914769434269434,0.46775069444444434,0.5143768243793243,0.4819047619047619,0.02896905847980478,5
restaurant_logo,permuted_subjectwise,eegnet,balanced_accuracy,15,0,0.5147521774521775,0.47873126984126985,0.5624105769230767,0.5044285714285713,0.02435778288969642,5
restaurant_logo,permuted_subjectwise,logreg,balanced_accuracy,15,0,0.5073566137566138,0.48068935846560856,0.5290467923280423,0.49923809523809526,0.042001889602239696,5
restaurant_logo,permuted_subjectwise,svm_rbf,balanced_accuracy,15,0,0.500662271062271,0.4824477207977208,0.5160471916971917,0.5,0.00998752055784736,5
restaurant_logo,subjectwise,deepconvnet,balanced_accuracy,15,0,0.49753998778998787,0.4738131191493692,0.5237123412698413,0.49123809523809525,0.021886327646923314,5
restaurant_logo,subjectwise,eegnet,balanced_accuracy,15,0,0.5343883190883191,0.4978654599104599,0.5754429563492063,0.5018095238095237,0.018468948015962536,5
restaurant_logo,subjectwise,logreg,balanced_accuracy,15,0,0.5688679283679284,0.5184999872812373,0.6205216666666667,0.5545714285714286,0.019390602488128336,5
restaurant_logo,subjectwise,svm_rbf,balanced_accuracy,15,0,0.5287349613349612,0.4978318386243385,0.5624739153439153,0.49657142857142855,0.008886535969766258,5
ds007406,epochwise,deepconvnet,pr_auc,10,0,0.6132222222222222,0.5521083333333333,0.6766749999999998,0.49596524074512366,0.05016226763732271,5
ds007406,epochwise,eegnet,pr_auc,10,0,0.6406666666666667,0.5812194444444445,0.696111111111111,0.514683712808431,0.013015687273790669,5
ds007406,epochwise,logreg,pr_auc,10,0,0.6343333333333333,0.5542194444444445,0.7218916666666665,0.512670562013188,0.05004857721365676,5
ds007406,epochwise,svm_rbf,pr_auc,10,0,0.6248888888888888,0.597,0.6532222222222223,0.5084531011144919,0.05723079047064537,5
ds007406,permuted_subjectwise,deepconvnet,pr_auc,10,0,0.6005555555555555,0.5674444444444445,0.6371111111111112,0.48474145059485946,0.05414337741382645,5
ds007406,permuted_subjectwise,eegnet,pr_auc,10,0,0.5972222222222221,0.5614444444444444,0.6318888888888888,0.4822512717716313,0.03052782153616296,5
ds007406,permuted_subjectwise,logreg,pr_auc,10,0,0.6332222222222221,0.586436111111111,0.6796694444444443,0.49850767179080957,0.02166654158811421,5
ds007406,permuted_subjectwise,svm_rbf,pr_auc,10,0,0.6385555555555557,0.6072222222222223,0.6714444444444444,0.5219310037844501,0.04722062757642527,5
ds007406,subjectwise,deepconvnet,pr_auc,10,0,0.6187777777777778,0.5803333333333334,0.6647777777777778,0.513709254770862,0.012871574195911189,5
ds007406,subjectwise,eegnet,pr_auc,10,0,0.706111111111111,0.6316666666666666,0.7888888888888889,0.5593223313739386,0.060347660636954396,5
ds007406,subjectwise,logreg,pr_auc,10,0,0.7248888888888888,0.639775,0.8109999999999999,0.6150617167586463,0.027119726863775038,5
ds007406,subjectwise,svm_rbf,pr_auc,10,0,0.6738888888888889,0.5965527777777777,0.7498944444444443,0.5646491756593173,0.04416757125237909,5
neuma,epochwise,deepconvnet,pr_auc,42,0,0.3096442474791708,0.284163869141805,0.33699048483763516,0.2603840778750136,0.002812619357399376,5
neuma,epochwise,eegnet,pr_auc,42,0,0.3127226627488548,0.2853284731013068,0.34222269177451625,0.2582651195002585,0.002105229444567161,5
